ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2024-11-27,63,29085,684,Employed,Associate,40,8950,36,Single,3,Mortgage,328,0.158,14,1,0.135,0,Auto,0,2,28,22091,665,152735,10934,2423,0.661,3,141801,0.0477,0.0635,273.7,0.248,1,81.0
2024-01-08,47,70222,610,Self-Employed,Associate,28,16633,12,Married,4,Rent,351,0.151,1,0,0.06,0,Home,0,30,9,6535,1219,232645,25717,5851,0.901,24,206928,0.0508,0.0813,1447.88,0.307,1,54.22
2023-01-06,25,98746,698,Employed,High School,6,103645,60,Single,5,Rent,1873,0.098,11,4,0.228,0,Other,0,12,2,16432,1552,509758,33777,8228,0.457,5,475981,0.0574,0.0743,2073.39,0.48,1,91.6
2024-04-22,66,77996,699,Employed,High School,45,31064,72,Married,3,Own,818,0.298,15,2,0.126,0,Auto,0,26,34,70060,3379,378112,59650,6499,0.922,8,318462,0.0351,0.0466,495.4,0.202,1,96.06
2023-06-21,44,52163,722,Employed,Master,25,28353,60,Single,1,Rent,546,0.426,3,2,0.126,0,Debt Consolidation,0,14,16,31163,9926,99194,46011,4346,0.847,17,53183,0.0487,0.055,541.58,0.25,1,86.57
2023-04-12,47,141908,576,Unemployed,High School,27,293151,84,Married,0,Rent,931,0.32,4,1,0.079,0,Home,0,0,27,9872,32816,187994,550667,11825,0.715,8,-362673,0.0557,0.0956,4800.27,0.485,0,8.99
2024-07-30,39,89553,706,Self-Employed,Associate,17,84455,36,Married,2,Own,1035,0.219,5,0,0.139,0,Auto,0,12,10,40230,3109,479434,141505,7462,0.922,0,337929,0.0457,0.0562,2554.77,0.481,1,95.97
2023-07-20,28,44492,574,Self-Employed,High School,10,54271,120,Single,5,Mortgage,1152,0.244,6,2,0.311,0,Debt Consolidation,0,9,6,17996,7831,126301,89259,3707,0.858,10,37042,0.0367,0.0888,683.96,0.495,0,0.61
2024-03-18,71,161305,724,Employed,High School,50,208025,72,Single,5,Mortgage,3430,0.188,0,0,0.255,0,Auto,1,39,18,19510,24346,308072,204167,13442,0.857,1,103905,0.0392,0.052,3369.56,0.506,1,98.47
2024-04-04,63,31317,770,Employed,Master,45,37116,36,Married,3,Own,369,0.454,5,2,0.141,0,Other,0,13,36,114,7533,119584,60484,2609,0.693,13,59100,0.0302,0.0372,1091.2,0.559,1,79.17
2023-03-17,55,25953,725,Unemployed,Master,37,56026,84,Married,4,Mortgage,1183,0.058,3,1,0.547,0,Debt Consolidation,0,16,34,13156,5867,73871,44275,2162,0.726,2,29596,0.0386,0.066,834.67,0.933,0,27.3
2024-11-09,41,43890,644,Unemployed,Associate,23,47641,48,Married,4,Mortgage,1054,0.061,5,3,0.288,0,Education,0,6,17,21814,3630,66461,30222,3657,0.927,4,36239,0.0474,0.0808,1164.85,0.607,0,11.2
2024-06-12,65,37074,711,Employed,High School,47,33888,60,Single,3,Mortgage,1127,0.273,0,1,0.365,0,Debt Consolidation,0,25,18,31678,6297,128917,52186,3089,0.612,21,76731,0.0464,0.0669,666.08,0.58,1,52.32
2023-11-06,49,45140,522,Employed,Bachelor,29,32162,72,Single,3,Own,1012,0.103,6,1,0.269,0,Auto,0,44,21,19776,13249,91146,36804,3761,0.737,3,54342,0.0513,0.1142,619.12,0.434,0,0.94
2023-01-12,43,80744,501,Employed,High School,20,129815,84,Married,2,Rent,795,0.345,3,1,0.118,1,Education,0,40,23,28628,20919,300476,152755,6728,0.829,14,147721,0.0319,0.0925,2105.11,0.431,0,0.75
2024-05-26,44,53263,702,Employed,Bachelor,21,48651,84,Married,5,Rent,1841,0.096,5,2,0.415,1,Education,0,38,16,24309,11869,63121,48069,4438,0.7,14,15052,0.0504,0.0756,747.66,0.583,0,38.45
2023-10-01,31,53952,777,Employed,Bachelor,13,97934,48,Widowed,3,Own,554,0.216,2,3,0.123,0,Home,0,47,4,20644,2971,259374,170556,4496,0.862,13,88818,0.0594,0.0656,2325.21,0.64,1,97.87
2023-08-05,23,55793,549,Employed,Master,0,29713,72,Married,5,Rent,467,0.127,5,2,0.1,0,Debt Consolidation,0,16,3,39846,10615,314445,40909,4649,0.598,0,273536,0.0432,0.091,537.07,0.216,0,1.99
2023-09-18,50,17048,661,Employed,Associate,29,2631,36,Single,2,Own,89,0.101,2,4,0.063,0,Auto,0,33,24,6642,4010,89139,4077,1420,0.531,24,85062,0.0506,0.0685,81.06,0.12,1,80.33
2024-04-22,69,25396,699,Employed,Associate,48,44378,48,Widowed,0,Rent,671,0.323,9,1,0.317,0,Education,0,34,19,13675,6665,33520,20778,2116,0.773,24,12742,0.0433,0.0644,1051.19,0.814,1,83.99
2023-07-10,21,44682,604,Employed,Associate,0,5011,120,Widowed,0,Other,2036,0.371,10,3,0.547,0,Home,0,46,0,26567,1395,219368,6867,3723,0.942,0,212501,0.0429,0.0992,66.0,0.565,0,12.85
2023-03-15,67,35544,629,Employed,Bachelor,47,61907,84,Single,3,Own,1105,0.455,9,2,0.373,0,Auto,0,3,33,31853,5424,89271,106581,2962,0.652,18,-17310,0.0575,0.0989,1024.21,0.719,0,3.95
2024-08-06,66,48247,715,Self-Employed,Doctorate,47,80500,48,Married,3,Own,284,0.321,12,0,0.071,0,Education,0,7,28,11079,13346,53983,145666,4020,0.429,22,-91683,0.0504,0.0552,1872.88,0.536,1,82.1
2023-11-11,34,109323,669,Employed,Associate,13,178750,12,Single,2,Other,4478,0.133,2,1,0.492,0,Home,0,34,6,6557,11923,357241,238944,9110,0.538,10,118297,0.0335,0.0708,15473.25,2.19,1,58.11
2024-06-02,54,52196,670,Unemployed,Associate,32,37582,120,Widowed,5,Own,663,0.133,8,1,0.152,0,Debt Consolidation,0,1,29,20457,8449,58232,74762,4349,0.432,9,-16530,0.0514,0.0715,439.27,0.253,1,85.48
2024-07-12,27,27970,571,Employed,Bachelor,5,29589,60,Divorced,2,Rent,1051,0.239,0,1,0.451,0,Home,0,3,8,16421,6221,136164,12195,2330,0.628,5,123969,0.0519,0.1117,645.85,0.728,0,0.45
2023-05-01,61,36441,657,Employed,Associate,42,52457,48,Single,1,Rent,532,0.256,5,2,0.175,1,Debt Consolidation,0,42,18,11606,10508,174414,98829,3036,0.839,10,75585,0.0351,0.0596,1230.99,0.581,0,18.56
2024-07-23,58,127425,624,Employed,High School,35,53541,120,Single,4,Rent,5057,0.25,9,1,0.476,0,Auto,1,39,22,47888,30111,317058,103977,10618,0.885,20,213081,0.0412,0.089,675.34,0.54,0,35.74
2023-09-03,38,116569,629,Unemployed,Bachelor,19,195634,24,Single,2,Mortgage,4682,0.07,1,1,0.482,0,Home,0,10,17,57128,11816,298227,388671,9714,0.65,19,-90444,0.0386,0.0854,8896.26,1.398,1,68.34
2024-04-29,21,72979,611,Employed,Bachelor,0,90174,24,Divorced,2,Rent,2116,0.806,7,6,0.348,1,Debt Consolidation,0,31,1,44552,2161,121020,56391,6081,0.862,0,64629,0.0534,0.098,4152.75,1.031,0,0.53
2024-04-14,74,24803,657,Employed,Associate,55,20601,60,Married,3,Own,732,0.481,3,2,0.354,0,Debt Consolidation,0,14,50,9635,3843,78080,26953,2066,0.645,20,51127,0.0308,0.0642,402.31,0.549,0,12.42
2024-11-07,43,63158,581,Employed,Master,25,20535,48,Married,3,Rent,893,0.26,0,2,0.17,0,Education,1,6,11,11060,11755,245489,7322,5263,0.826,8,238167,0.0402,0.0834,504.6,0.266,0,9.47
2023-03-08,69,65633,661,Self-Employed,Bachelor,46,20439,24,Married,3,Own,2122,0.217,7,3,0.388,0,Debt Consolidation,0,28,50,45448,13359,326205,14305,5469,0.546,2,311900,0.0532,0.0874,931.31,0.558,0,37.02
2024-01-02,57,54872,627,Employed,Bachelor,36,30625,48,Married,3,Rent,1686,0.296,14,0,0.369,0,Debt Consolidation,0,43,30,27786,2397,260355,48633,4572,0.58,10,211722,0.032,0.0737,738.62,0.53,0,24.8
2024-03-04,63,40741,576,Employed,Doctorate,44,89160,36,Married,2,Mortgage,575,0.437,3,3,0.169,0,Education,0,35,13,25328,11905,122708,65284,3395,0.866,21,57424,0.0464,0.0908,2838.59,1.005,0,1.21
2023-07-14,62,45192,484,Self-Employed,Bachelor,44,44963,84,Divorced,1,Rent,1501,0.678,12,0,0.399,1,Home,1,30,19,14256,8619,208485,58098,3766,0.842,14,150387,0.0353,0.1142,779.84,0.606,0,0.0
2024-04-10,29,39345,745,Employed,Associate,11,51685,24,Single,3,Mortgage,1118,0.376,5,2,0.341,0,Debt Consolidation,1,44,6,1655,3741,55854,102618,3278,0.813,0,-46764,0.0554,0.0724,2319.7,1.048,1,64.13
2023-05-02,39,30560,727,Employed,Associate,20,43027,36,Married,2,Own,136,0.346,8,1,0.053,0,Debt Consolidation,0,37,12,16082,7608,172569,81056,2546,0.831,2,91513,0.0547,0.0574,1303.9,0.565,1,85.7
2023-01-23,45,107258,587,Employed,High School,22,150078,72,Married,5,Rent,3864,0.189,9,3,0.432,0,Education,0,46,21,61279,20928,139863,273008,8938,0.776,8,-133145,0.048,0.1028,2801.56,0.746,0,45.92
2024-03-01,46,84217,721,Employed,Bachelor,27,97153,36,Married,5,Own,2162,0.18,7,3,0.308,0,Auto,0,48,21,34978,1097,317802,157393,7018,0.749,8,160409,0.0485,0.0639,2972.78,0.732,1,96.87
2024-12-10,20,46982,567,Employed,Bachelor,2,77686,84,Married,2,Own,1395,0.7,4,3,0.356,0,Home,1,34,0,11740,2189,208671,84413,3915,0.718,2,124258,0.0582,0.1142,1347.39,0.7,0,0.41
2023-07-26,49,64607,632,Employed,High School,26,111174,60,Single,0,Own,2632,0.111,7,4,0.489,0,Home,0,9,30,6620,14980,310594,186465,5383,0.909,14,124129,0.051,0.0974,2347.92,0.925,0,19.16
2023-05-17,26,65831,612,Self-Employed,Master,3,98163,12,Divorced,5,Mortgage,672,0.227,2,2,0.122,1,Debt Consolidation,0,22,2,54656,19130,153594,112503,5485,0.669,3,41091,0.0393,0.0724,8504.59,1.673,0,14.87
2023-04-16,61,174807,635,Self-Employed,Bachelor,42,89471,120,Married,1,Rent,6399,0.164,10,1,0.439,0,Debt Consolidation,0,15,27,102156,38219,812245,109542,14567,0.74,4,702703,0.0474,0.0906,1136.29,0.517,1,80.85
2023-04-17,57,83808,718,Self-Employed,High School,36,132149,84,Widowed,5,Mortgage,1306,0.223,8,1,0.187,0,Education,0,35,33,7460,5541,87949,182116,6984,0.384,21,-94167,0.0403,0.0502,1869.02,0.455,1,93.15
2024-05-31,71,82238,623,Employed,Associate,50,112384,48,Single,5,Own,3684,0.028,4,1,0.538,0,Auto,1,15,52,43844,10103,196322,197900,6853,0.772,5,-1578,0.0429,0.094,2818.07,0.949,0,15.89
2024-08-15,61,55215,629,Employed,Doctorate,40,28662,24,Married,0,Mortgage,2401,0.272,4,2,0.522,1,Auto,0,46,27,14156,1781,94466,44313,4601,0.908,22,50153,0.0418,0.0907,1310.34,0.807,0,24.75
2024-08-15,39,43598,726,Employed,High School,20,63506,60,Married,4,Rent,1730,0.452,11,1,0.476,0,Auto,0,15,13,23172,2758,90929,88480,3633,0.509,0,2449,0.0526,0.0764,1276.76,0.828,0,37.02
2023-10-06,74,108158,665,Unemployed,Master,52,30302,12,Married,4,Mortgage,4135,0.311,9,2,0.459,0,Other,1,20,23,88556,7137,284619,51485,9013,0.824,14,233134,0.0563,0.093,2654.17,0.753,0,27.74
2024-09-18,41,75066,606,Employed,Master,18,83003,24,Married,5,Own,2373,0.15,8,1,0.379,0,Education,0,45,20,50866,16684,138196,100760,6255,0.797,10,37436,0.0417,0.0892,3788.92,0.985,0,36.34
2023-11-18,36,35783,681,Self-Employed,Bachelor,14,38278,48,Married,2,Mortgage,484,0.078,15,2,0.162,0,Education,1,33,15,24309,5623,87424,62517,2981,0.482,5,24907,0.0419,0.0598,898.61,0.464,1,77.72
2024-03-21,70,67977,749,Employed,Bachelor,47,80621,48,Married,5,Mortgage,395,0.47,15,0,0.07,0,Auto,0,37,47,20189,11005,325292,58209,5664,0.374,3,267083,0.0565,0.06,1893.39,0.404,1,94.97
2024-11-26,39,82346,755,Employed,Associate,21,146338,12,Married,1,Rent,1832,0.598,2,1,0.267,0,Auto,0,45,6,21066,569,294638,234897,6862,0.793,3,59741,0.0373,0.0506,12531.65,2.093,1,96.33
2023-03-11,22,18997,540,Employed,High School,1,14218,60,Married,3,Own,716,0.55,6,3,0.452,0,Education,0,24,1,13841,500,60828,12003,1583,0.736,1,48825,0.0447,0.1123,310.77,0.649,0,0.24
2023-01-18,45,34159,545,Self-Employed,High School,22,41148,120,Single,5,Other,1177,0.333,9,2,0.413,0,Auto,0,7,14,29057,5442,205011,39843,2846,0.812,4,165168,0.0432,0.1076,561.24,0.611,0,0.59
2023-07-28,64,64950,749,Employed,Bachelor,43,87267,24,Married,0,Rent,1173,0.28,6,1,0.217,0,Other,0,2,20,45903,17005,313237,53525,5412,0.96,10,259712,0.0423,0.0532,3841.04,0.926,1,91.89
2023-02-13,28,20697,634,Employed,Master,5,20778,120,Married,2,Rent,945,0.16,12,3,0.548,0,Home,0,42,4,10145,1927,94718,17475,1724,0.811,3,77243,0.0417,0.0906,263.88,0.701,0,21.64
2024-10-01,44,22402,461,Employed,High School,24,48797,120,Married,3,Rent,637,0.604,8,2,0.341,0,Home,0,6,24,6437,3450,48675,23555,1866,0.665,5,25120,0.0506,0.1324,735.52,0.735,0,0.1
2023-06-29,25,47323,594,Self-Employed,High School,2,86010,24,Single,2,Own,2063,0.03,0,2,0.523,0,Education,0,47,6,1944,5718,226801,41444,3943,0.76,2,185357,0.0366,0.0942,3945.94,1.524,0,20.99
2024-12-19,57,69270,620,Employed,High School,34,137735,120,Married,0,Mortgage,376,0.481,6,0,0.065,0,Home,0,26,16,28454,9307,139965,47691,5772,0.651,14,92274,0.0437,0.072,1613.45,0.345,0,36.61
2023-12-26,45,70890,631,Employed,Bachelor,24,22016,72,Single,0,Own,2488,0.201,13,1,0.421,0,Education,0,1,25,58347,13134,128679,18610,5907,0.737,15,110069,0.0326,0.0759,381.62,0.486,0,22.85
2024-08-09,37,119515,728,Employed,Master,15,111390,48,Single,0,Mortgage,4506,0.486,3,1,0.452,0,Auto,0,20,6,39121,23026,329263,156245,9959,0.763,15,173018,0.0349,0.0575,2603.25,0.714,1,69.11
2024-01-23,31,56451,576,Self-Employed,Master,10,90079,24,Single,3,Rent,2174,0.187,5,1,0.462,0,Education,0,34,4,14601,8660,231223,162066,4704,0.544,9,69157,0.045,0.1041,4173.76,1.349,0,2.0
2023-08-22,50,44966,744,Self-Employed,High School,31,70605,120,Single,4,Rent,363,0.268,15,2,0.097,0,Home,0,27,12,1591,3845,114332,132033,3747,0.757,24,-17701,0.0425,0.0474,739.93,0.294,1,92.0
2023-09-15,56,28178,685,Employed,Bachelor,35,39379,24,Single,3,Mortgage,474,0.601,7,0,0.202,0,Education,1,42,20,23662,3188,95932,74024,2348,0.758,5,21908,0.043,0.0618,1748.5,0.946,1,74.44
2024-12-01,72,44698,544,Employed,Bachelor,49,54344,84,Married,2,Mortgage,1293,0.241,6,0,0.347,0,Home,0,3,16,38187,9425,215323,37151,3724,0.832,8,178172,0.0559,0.1172,951.2,0.602,0,0.8
2023-10-22,43,77169,631,Employed,Doctorate,25,149084,84,Married,5,Own,2095,0.142,8,2,0.326,0,Auto,0,4,24,15244,3228,320769,245109,6430,0.527,10,75660,0.032,0.0706,2254.45,0.676,0,29.78
2024-05-17,27,78933,704,Employed,Bachelor,8,151437,48,Divorced,1,Other,2963,0.173,3,0,0.45,0,Home,1,36,7,46937,5877,429588,63594,6577,0.669,7,365994,0.0573,0.0838,3724.09,1.017,0,41.98
2023-07-07,66,61840,663,Employed,High School,46,95849,120,Single,2,Own,1834,0.224,12,4,0.356,0,Debt Consolidation,0,20,15,40225,17582,241369,187779,5153,0.508,7,53590,0.053,0.085,1188.39,0.586,0,20.66
2024-10-08,54,71222,694,Employed,Associate,34,102883,84,Single,5,Own,2156,0.28,7,1,0.363,0,Education,1,9,33,20583,12059,87697,110741,5935,0.855,9,-23044,0.0469,0.0716,1560.84,0.626,0,27.2
2023-01-29,58,102558,607,Employed,Bachelor,37,126120,36,Married,4,Rent,1108,0.093,6,2,0.13,0,Auto,0,44,37,72667,6798,512327,143942,8546,0.54,7,368385,0.0329,0.0676,3880.4,0.584,1,70.16
2023-08-07,23,56254,709,Employed,Bachelor,3,23884,60,Married,4,Own,974,0.156,0,4,0.208,0,Home,1,16,3,1589,2908,233246,24848,4687,0.729,3,208398,0.0487,0.0618,463.75,0.307,1,82.23
2024-05-17,36,107329,624,Employed,Associate,15,22896,84,Single,2,Rent,785,0.22,13,4,0.088,0,Debt Consolidation,0,30,13,28737,15441,177790,17337,8944,0.853,10,160453,0.0495,0.0779,354.47,0.127,1,50.05
2023-05-13,62,37672,850,Employed,Associate,44,12713,24,Single,3,Rent,354,0.13,10,1,0.113,0,Debt Consolidation,0,33,24,7305,8788,50299,15522,3139,0.67,24,34777,0.046,0.0516,558.65,0.291,1,98.83
2024-05-12,66,52226,541,Self-Employed,Associate,47,83946,24,Married,3,Own,1851,0.321,2,2,0.425,0,Auto,0,11,33,24909,6030,279184,167004,4352,0.906,2,112180,0.032,0.098,3865.94,1.314,0,0.43
2024-07-01,43,42598,850,Employed,Associate,21,15281,12,Single,4,Own,1472,0.266,14,2,0.415,0,Other,1,31,8,20631,7965,90251,13435,3549,0.755,18,76816,0.037,0.0578,1313.64,0.785,0,39.84
2023-08-29,64,80527,574,Self-Employed,High School,44,158610,24,Single,1,Mortgage,2981,0.373,5,0,0.444,0,Auto,0,8,38,2050,23337,400698,234117,6710,0.876,7,166581,0.0319,0.0906,7250.42,1.525,0,1.12
2023-01-12,66,32622,774,Employed,Associate,44,43453,120,Single,4,Rent,550,0.213,0,0,0.202,0,Debt Consolidation,0,39,32,23787,335,126526,22842,2718,0.812,2,103684,0.0366,0.0467,453.91,0.369,1,94.94
2024-05-07,40,46125,734,Employed,High School,19,69105,120,Single,4,Mortgage,1151,0.686,13,0,0.299,0,Auto,0,28,9,20497,11904,98577,98662,3843,0.946,1,-85,0.0321,0.047,722.87,0.488,1,89.92
2024-07-02,70,21378,578,Employed,High School,51,15914,72,Widowed,5,Other,590,0.35,8,0,0.331,1,Home,1,23,45,9765,2137,55397,6942,1781,0.761,15,48455,0.0464,0.0984,293.54,0.496,0,0.02
2023-01-12,34,72925,713,Employed,High School,14,54692,24,Married,5,Rent,1065,0.432,15,1,0.175,0,Auto,0,20,15,18826,11743,72371,107207,6077,0.675,14,-34836,0.0565,0.067,2441.27,0.577,1,91.64
2024-11-03,31,101052,615,Employed,High School,8,180464,84,Single,0,Own,1865,0.106,1,3,0.221,0,Education,1,5,10,39858,22708,527272,288800,8421,0.598,8,238472,0.0578,0.0951,2950.42,0.572,0,17.76
2024-08-11,57,85421,684,Employed,Bachelor,34,182234,60,Single,4,Own,3497,0.323,11,2,0.491,0,Education,0,21,16,44726,3062,302871,260456,7118,0.906,4,42415,0.0362,0.0698,3606.73,0.998,1,56.86
2023-01-27,54,81333,673,Employed,Bachelor,36,74241,72,Married,4,Rent,404,0.245,0,2,0.06,0,Education,0,48,33,55737,5894,226673,48410,6777,0.262,6,178263,0.0349,0.0496,1194.27,0.236,1,97.11
2024-11-19,26,82429,628,Self-Employed,Master,4,157406,72,Married,1,Own,1208,0.127,14,0,0.176,0,Auto,0,34,6,455,4740,330345,224026,6869,0.503,0,106319,0.037,0.0688,2674.56,0.565,1,64.18
2024-03-07,66,76868,621,Self-Employed,Bachelor,46,153865,24,Married,4,Own,1971,0.243,0,0,0.308,1,Auto,0,12,34,62419,1197,259387,154911,6405,0.808,6,104476,0.0459,0.0861,7001.78,1.401,0,18.01
2023-09-05,29,73658,690,Employed,High School,11,28085,120,Married,1,Own,1128,0.59,1,1,0.184,0,Education,0,24,7,40538,852,292458,41160,6138,0.547,9,251298,0.0506,0.0673,322.2,0.236,1,90.18
2024-10-24,64,76073,578,Employed,Associate,43,105423,48,Single,4,Own,2601,0.105,1,1,0.41,0,Debt Consolidation,0,25,43,35109,20353,292105,125418,6339,0.765,4,166687,0.0502,0.1062,2705.3,0.837,0,1.7
2024-04-30,18,39032,582,Employed,Bachelor,0,32457,120,Single,0,Mortgage,1280,0.062,4,1,0.394,0,Debt Consolidation,1,28,0,15184,10899,103754,64037,3252,0.783,0,39717,0.052,0.1062,440.14,0.529,0,3.61
2024-07-26,64,49016,745,Employed,Bachelor,45,8086,12,Single,2,Mortgage,317,0.211,1,1,0.078,0,Debt Consolidation,1,35,43,3758,615,228717,7158,4084,0.799,14,221559,0.035,0.0389,688.12,0.246,1,90.51
2023-07-08,63,56112,698,Self-Employed,High School,41,84807,12,Married,1,Rent,773,0.417,7,1,0.165,0,Debt Consolidation,0,21,18,21416,5105,58046,32287,4676,0.918,19,25759,0.0544,0.0682,7331.04,1.733,1,88.45
2023-06-12,63,45804,542,Self-Employed,Master,41,75952,12,Single,0,Rent,1188,0.14,9,2,0.311,0,Debt Consolidation,0,48,24,38707,5366,151352,22979,3817,0.526,12,128373,0.0578,0.1178,6740.43,2.077,0,1.4
2023-07-02,56,24756,569,Employed,Bachelor,36,33708,36,Single,4,Rent,381,0.253,6,1,0.185,0,Education,0,14,14,21700,6351,102499,23610,2063,0.885,5,78889,0.0595,0.1065,1097.98,0.717,0,0.56
2024-10-29,45,29216,467,Employed,Bachelor,23,34238,120,Divorced,4,Rent,249,0.292,6,1,0.102,0,Debt Consolidation,0,9,21,18523,351,112287,22691,2434,0.903,13,89596,0.0563,0.1246,500.36,0.308,0,0.61
2024-01-17,58,60778,741,Employed,Bachelor,35,126065,84,Married,0,Rent,577,0.155,4,1,0.114,1,Education,0,18,29,6991,17770,165130,244896,5064,0.647,24,-79766,0.051,0.0567,1821.75,0.474,1,90.34
2023-07-07,34,85211,721,Employed,High School,14,37753,48,Divorced,4,Own,3704,0.295,13,1,0.522,0,Debt Consolidation,0,40,15,48336,20523,483582,33464,7100,0.55,7,450118,0.032,0.0581,883.35,0.646,1,53.65
2024-08-01,63,54430,562,Employed,Bachelor,44,115585,36,Single,4,Rent,1770,0.381,1,2,0.39,0,Other,1,23,44,22373,2806,139203,141122,4535,0.813,9,-1919,0.0511,0.1101,3784.65,1.225,0,0.15
2023-02-19,50,215865,718,Unemployed,Associate,29,280447,24,Married,1,Own,9846,0.188,2,2,0.547,0,Auto,0,22,28,192142,44742,731156,366465,17988,0.752,23,364691,0.0457,0.0736,12602.16,1.248,1,95.62
2023-06-22,44,34204,838,Employed,Master,26,68734,24,Married,0,Rent,786,0.406,1,0,0.276,0,Auto,1,47,24,9110,6062,158469,129217,2850,0.761,20,29252,0.049,0.0628,3055.01,1.348,1,89.94
2023-11-05,47,67674,521,Employed,High School,24,133443,36,Single,2,Mortgage,2293,0.103,11,3,0.407,0,Debt Consolidation,0,22,16,47943,3970,375050,141962,5639,0.795,15,233088,0.0403,0.1104,4371.28,1.182,0,0.49
