Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalLiabilities,JobTenure,NetWorth,LoanApproved,LoanToIncomeRatio,SavingsToLoanRatio
22,18997,540,0,3,14218,60,716,0.55,0.452,0,2,0,24,1,13841,500,12003,1,48825,0,0.7483945678492473,0.9734158520289753
45,34159,545,1,3,41148,120,1177,0.333,0.413,0,0,0,7,14,29057,5442,39843,4,165168,0,1.2045667447306792,0.7061410969889912
64,64950,749,0,1,87267,24,1173,0.28,0.217,0,4,0,2,20,45903,17005,53525,10,259712,1,1.3435820849563518,0.5260003666865288
28,20697,634,0,4,20778,120,945,0.16,0.548,0,3,0,42,4,10145,1927,17475,3,77243,0,1.0038651077398784,0.4882333124789451
44,22402,461,0,3,48797,120,637,0.604,0.341,0,3,0,6,24,6437,3450,23555,5,25120,0,2.1781457840467793,0.13191114389934014
25,47323,594,1,3,86010,24,2063,0.03,0.523,0,2,0,47,6,1944,5718,41444,2,185357,0,1.8174710506297016,0.022601760239969307
57,69270,620,0,3,137735,120,376,0.481,0.065,0,3,0,26,16,28454,9307,47691,14,92274,0,1.9883501032177968,0.20658360922344196
45,70890,631,0,1,22016,72,2488,0.201,0.421,0,2,0,1,25,58347,13134,18610,15,110069,0,0.31056128422507795,2.650088567924785
37,119515,728,0,4,111390,48,4506,0.486,0.452,0,0,0,20,6,39121,23026,156245,15,173018,1,0.9320091033836474,0.35120431632717186
31,56451,576,1,4,90079,24,2174,0.187,0.462,0,2,0,34,4,14601,8660,162066,9,69157,0,1.5956742010911926,0.1620892539964476
50,44966,744,1,3,70605,120,363,0.268,0.097,0,3,0,27,12,1591,3845,132033,24,-17701,1,1.5701514443925546,0.02253349573690621
56,28178,685,0,1,39379,24,474,0.601,0.202,0,2,1,42,20,23662,3188,74024,5,21908,1,1.3974591007487847,0.6008633824276283
72,44698,544,0,1,54344,84,1293,0.241,0.347,0,3,0,3,16,38187,9425,37151,8,178172,0,1.2157766392984184,0.7026773392216396
43,77169,631,0,2,149084,84,2095,0.142,0.326,0,0,0,4,24,15244,3228,245109,10,75660,0,1.9318906310742516,0.1022503940704967
27,78933,704,0,1,151437,48,2963,0.173,0.45,0,3,1,36,7,46937,5877,63594,7,365994,0,1.9185268705500798,0.30994202247784575
66,61840,663,0,3,95849,120,1834,0.224,0.356,0,1,0,20,15,40225,17582,187779,7,53590,0,1.5499264242169435,0.4196661450182577
54,71222,694,0,0,102883,84,2156,0.28,0.363,0,2,1,9,33,20583,12059,110741,9,-23044,0,1.4445193266220182,0.20006026204268884
58,102558,607,0,1,126120,36,1108,0.093,0.13,0,0,0,44,37,72667,6798,143942,7,368385,1,1.2297311791261616,0.57616891715099
23,56254,709,0,1,23884,60,974,0.156,0.208,0,3,1,16,3,1589,2908,24848,3,208398,1,0.4245667051817616,0.06652710906426627
36,107329,624,0,0,22896,84,785,0.22,0.088,0,1,0,30,13,28737,15441,17337,10,160453,1,0.21332339513649493,1.2550552474123247
62,37672,850,0,0,12713,24,354,0.13,0.113,0,1,0,33,24,7305,8788,15522,24,34777,1,0.3374565338571391,0.5745634733364795
66,52226,541,1,0,83946,24,1851,0.321,0.425,0,0,0,11,33,24909,6030,167004,2,112180,0,1.607329542190821,0.2967229323263488
43,42598,850,0,0,15281,12,1472,0.266,0.415,0,4,1,31,8,20631,7965,13435,18,76816,0,0.3587173407826475,1.3500196309383588
64,80527,574,1,3,158610,24,2981,0.373,0.444,0,0,0,8,38,2050,23337,234117,7,166581,0,1.9696254718855553,0.01292470257422247
66,32622,774,0,0,43453,120,550,0.213,0.202,0,1,0,39,32,23787,335,22842,2,103684,1,1.331974373907979,0.5474064528006628
40,46125,734,0,3,69105,120,1151,0.686,0.299,0,0,0,28,9,20497,11904,98662,1,-85,1,1.4981789012704332,0.29660232107197637
70,21378,578,0,3,15914,72,590,0.35,0.331,1,3,1,23,45,9765,2137,6942,15,48455,0,0.7443753215772487,0.6135721017907634
34,72925,713,0,3,54692,24,1065,0.432,0.175,0,0,0,20,15,18826,11743,107207,14,-34836,1,0.7499657186737241,0.3442122392262264
31,101052,615,0,3,180464,84,1865,0.106,0.221,0,2,1,5,10,39858,22708,288800,8,238472,0,1.7858351558093277,0.22086277117446595
57,85421,684,0,1,182234,60,3497,0.323,0.491,0,2,0,21,16,44726,3062,260456,4,42415,1,2.1333380159677833,0.2454303509205147
54,81333,673,0,1,74241,72,404,0.245,0.06,0,2,0,48,33,55737,5894,48410,6,178263,1,0.9127916984287014,0.7507475552921526
26,82429,628,1,4,157406,72,1208,0.127,0.176,0,0,0,34,6,455,4740,224026,0,106319,1,1.9095717578551499,0.002890595716835973
66,76868,621,1,1,153865,24,1971,0.243,0.308,1,0,0,12,34,62419,1197,154911,6,104476,0,2.001652161469513,0.4056711684192739
29,73658,690,0,3,28085,120,1128,0.59,0.184,0,2,0,24,7,40538,852,41160,9,251298,1,0.3812840250342796,1.4433525599943031
64,76073,578,0,0,105423,48,2601,0.105,0.41,0,1,0,25,43,35109,20353,125418,4,166687,0,1.3857954097326288,0.3330266353012597
18,39032,582,0,1,32457,120,1280,0.062,0.394,0,1,1,28,0,15184,10899,64037,0,39717,0,0.8315271693182692,0.46780454741512106
64,49016,745,0,1,8086,12,317,0.211,0.078,0,1,1,35,43,3758,615,7158,14,221559,1,0.1649631760409654,0.4646964263632991
63,56112,698,1,3,84807,12,773,0.417,0.165,0,1,0,21,18,21416,5105,32287,19,25759,1,1.5113610036889846,0.25252334685407035
63,45804,542,1,4,75952,12,1188,0.14,0.311,0,1,0,48,24,38707,5366,22979,12,128373,0,1.658159589564458,0.5096177899490474
56,24756,569,0,1,33708,36,381,0.253,0.185,0,2,0,14,14,21700,6351,23610,5,78889,0,1.361554307872521,0.6437449939185381
45,29216,467,0,1,34238,120,249,0.292,0.102,0,1,0,9,21,18523,351,22691,13,89596,0,1.1718520039702913,0.5409912672683197
58,60778,741,0,1,126065,84,577,0.155,0.114,1,2,0,18,29,6991,17770,244896,24,-79766,1,2.0741539018410964,0.055455079085558356
34,85211,721,0,3,37753,48,3704,0.295,0.522,0,1,0,40,15,48336,20523,33464,7,450118,1,0.4430479275219453,1.280288181384754
63,54430,562,0,1,115585,36,1770,0.381,0.39,0,4,1,23,44,22373,2806,141122,9,-1919,0,2.123514173908251,0.1935615039883723
50,215865,718,2,0,280447,24,9846,0.188,0.547,0,0,0,22,28,192142,44742,366465,23,364691,1,1.29917170837464,0.6851252282062985
44,34204,838,0,4,68734,24,786,0.406,0.276,0,0,1,47,24,9110,6062,129217,20,29252,1,2.009472299371437,0.13253800829271842
47,67674,521,0,3,133443,36,2293,0.103,0.407,0,1,0,22,16,47943,3970,141962,15,233088,0,1.9718212042851866,0.3592743023290669
50,103321,604,0,1,23504,36,4067,0.158,0.472,0,1,0,43,31,23493,10907,33749,5,190068,0,0.2274830142660808,0.9994894703254626
20,92303,519,0,4,136303,84,1427,0.126,0.186,0,3,0,45,1,14908,10827,190357,0,-39160,0,1.4766749003293465,0.10937316586453809
26,75171,745,0,0,106772,36,575,0.394,0.092,0,1,0,17,6,45917,3895,129143,4,31006,1,1.420369286436439,0.43004317570921485
32,92515,651,0,0,80944,120,4074,0.145,0.528,0,1,0,37,7,21529,18329,130058,0,16349,0,0.874918932941329,0.2659707208598431
24,55697,624,0,3,46153,84,606,0.443,0.131,0,3,0,37,3,43229,14478,25462,1,173752,0,0.8286293942331862,0.9366252112492959
43,124422,680,1,1,158799,12,4373,0.202,0.422,0,2,0,48,12,93897,943,259624,2,100876,1,1.276283323822766,0.5912909319899244
56,102906,609,1,3,147677,36,3661,0.25,0.427,0,4,1,34,18,29084,25039,171014,2,264457,0,1.4350530090275686,0.19694199542247323
55,35379,623,0,1,15400,60,1530,0.306,0.519,0,0,1,1,33,8516,3686,25437,15,112512,0,0.43527416619559073,0.5529511070709694
45,63626,684,0,1,122044,84,679,0.124,0.128,0,1,0,14,22,5664,6214,181509,1,85422,1,1.9181165228597923,0.046409111393338524
67,24993,605,1,3,29001,24,515,0.141,0.247,0,1,0,40,34,15510,5988,14251,23,74971,0,1.1603184764343442,0.5347907040893731
50,115947,617,0,1,100700,24,3534,0.31,0.366,0,1,0,4,16,70408,22200,38422,14,333194,0,0.8684927726222099,0.6991787569140326
22,60603,645,0,4,112096,12,841,0.262,0.167,0,0,0,1,2,37928,836,44351,2,161257,0,1.8496468879941919,0.3383498220291355
62,106338,668,0,2,204644,84,4711,0.212,0.532,0,4,0,3,16,61797,21447,140465,14,276121,0,1.924449167285756,0.30197170710254345
51,51293,714,0,3,11216,12,1421,0.438,0.332,0,2,0,43,30,33403,12765,15188,10,63948,1,0.21866105197488986,2.9778907016136222
54,21415,712,0,4,23789,36,621,0.285,0.348,0,0,0,27,21,13431,4366,29403,13,44185,1,1.1108050056032872,0.5645649432534678
50,202538,525,2,1,317805,12,5834,0.135,0.346,0,1,0,17,12,140023,41093,257946,21,383392,0,1.5691052093670848,0.4405926886213602
50,57846,786,1,2,45313,36,845,0.623,0.175,0,0,0,36,18,17113,16203,31753,8,224340,1,0.7833249779590991,0.3776537052566536
23,32856,665,2,3,47431,36,716,0.448,0.261,0,0,0,1,4,11536,340,41223,5,132514,1,1.4435584502541314,0.24321133412042503
50,96074,630,2,1,50511,120,2385,0.095,0.298,0,3,0,43,29,77410,22677,60424,9,163426,0,0.5257455113192818,1.5325071270193222
64,149930,578,0,1,95072,60,6648,0.494,0.532,1,0,0,4,42,120298,38614,49988,24,521290,0,0.6341050216432893,1.265322436443575
35,48961,839,0,4,70232,48,1643,0.178,0.403,0,2,0,17,5,32823,11302,88031,12,1294,1,1.4344185286548752,0.4673444107470847
52,51553,850,1,3,43101,72,2188,0.021,0.509,0,1,1,48,26,14580,12632,83300,22,29801,1,0.8360360010862397,0.3382673657834903
19,61024,827,2,1,87604,84,337,0.331,0.066,0,0,0,0,0,14185,3745,92325,0,214557,1,1.4355428103236378,0.16191998173620228
38,31086,670,1,1,26514,72,795,0.646,0.307,0,3,0,36,17,14155,6410,11818,19,71903,1,0.8528967092353718,0.5338487648500848
43,38356,690,0,2,21803,48,632,0.469,0.198,0,0,0,46,23,2724,7340,16095,7,35145,1,0.5684229736423599,0.12493120528343424
74,132053,794,0,4,37880,48,2924,0.306,0.266,0,3,0,26,40,60586,13501,19950,14,643682,1,0.28685234828176354,1.5993769963834112
30,50710,638,2,2,106736,36,2128,0.229,0.504,0,0,1,29,9,28686,2284,209932,9,69657,0,2.104789887795547,0.2687540403046741
34,35639,708,0,1,70251,12,882,0.682,0.297,1,3,0,33,10,19799,2207,36570,0,99046,1,1.971127946127946,0.28182827535159144
41,43216,680,2,3,69599,36,1332,0.089,0.37,0,0,0,24,9,18256,4027,51809,16,145380,0,1.6104542194044011,0.26229885057471264
75,92634,832,0,1,91561,60,2763,0.319,0.358,0,3,0,42,53,76604,25068,104933,24,165044,1,0.9884061100016193,0.836635285380398
67,20172,789,2,4,26550,72,846,0.257,0.503,0,1,0,6,16,6745,5846,51102,22,13534,0,1.3161156000594854,0.25403939587962787
20,61532,647,0,0,62501,24,295,0.234,0.058,0,3,0,0,1,17740,3790,76988,0,120209,0,1.0157313961614094,0.28383091741064287
31,185555,797,2,1,380408,48,8091,0.291,0.523,1,1,0,10,10,102290,35444,618866,9,-318070,1,2.0500980835974048,0.2688947948129513
65,149571,659,0,3,123892,12,975,0.104,0.078,0,4,1,4,19,69924,18276,213193,9,257082,1,0.8283101115181986,0.5643902399651312
21,72157,610,1,3,86181,60,2535,0.199,0.422,0,1,0,22,1,46536,11803,86583,2,235555,0,1.1943374262036088,0.5399735443596111
67,104633,634,0,0,104618,72,1452,0.273,0.167,0,1,1,16,27,32992,26110,179124,21,353082,0,0.9998470860332206,0.31535380762576587
34,104131,673,0,1,166714,36,892,0.168,0.103,0,0,0,24,6,85390,24994,157846,12,190808,1,1.600987208543003,0.5121914644753022
71,50872,589,0,0,36679,12,1222,0.339,0.288,0,1,1,32,23,4876,6919,56169,12,79855,0,0.7209914886088888,0.13293347873500544
35,86025,613,1,3,162534,12,945,0.321,0.132,0,1,0,20,9,291,15908,156284,6,132489,0,1.8893590309906307,0.001790383609684068
43,132493,530,0,4,76069,48,3191,0.536,0.289,0,1,0,32,22,24374,2634,134946,21,52714,0,0.5741316587920963,0.3204154068621007
56,28799,585,1,0,46642,24,1170,0.658,0.488,0,4,1,31,35,4621,2206,79747,24,-8198,0,1.619513888888889,0.09907167206226014
25,72281,681,0,4,88979,36,2150,0.073,0.357,0,0,0,37,2,30065,7549,73902,7,77549,1,1.2309980354721783,0.3378849179590919
50,64908,753,0,3,72492,12,2004,0.123,0.37,0,1,0,45,21,5030,1960,143747,13,165032,1,1.116825093592568,0.0693860096836936
47,57044,742,0,1,93720,24,2244,0.416,0.472,0,0,0,16,21,31828,16065,133331,16,128801,0,1.6429134893505128,0.3396037174165875
63,54574,698,2,1,111967,48,768,0.679,0.169,0,3,1,44,33,45096,3967,160287,1,115733,1,2.051617040769583,0.4027579308373821
75,60829,522,0,3,65367,24,2777,0.311,0.548,0,1,0,22,46,14914,14068,92055,13,101874,0,1.074584908762124,0.22815444865989476
56,63435,582,2,1,40308,84,1956,0.209,0.37,0,3,0,13,29,25589,1971,75573,3,106933,0,0.6354120688568006,0.6348210077153985
41,94779,642,0,3,53415,120,1329,0.38,0.168,0,0,0,10,8,20929,18079,103418,10,331908,1,0.5635682633466976,0.39181144226449005
41,68751,746,0,3,12148,36,2226,0.125,0.389,0,3,0,33,8,9906,19374,21296,0,208410,1,0.17669304165696997,0.8153757510906248
42,49566,609,1,1,23892,48,911,0.324,0.221,0,3,1,47,18,9161,14114,10550,14,230253,0,0.4820142433473884,0.3834177374126313
65,35597,550,0,1,66875,36,946,0.629,0.319,0,1,1,26,23,11276,10338,47293,13,130853,0,1.8786167762233834,0.1686105628327053
36,42777,790,0,4,33975,12,1848,0.314,0.518,0,3,0,45,12,6515,3383,59785,12,1334,1,0.7942166534199823,0.19175300211914292
27,61733,593,0,1,103666,72,2523,0.156,0.49,0,4,0,46,3,45195,7205,196405,4,-60337,0,1.6792367253053422,0.43596322841405655
37,38061,558,1,2,51505,12,262,0.548,0.083,0,0,0,27,7,11760,6008,25374,18,48717,0,1.3531869055751142,0.22832291383528133
19,86936,680,0,3,147458,12,3493,0.286,0.482,0,0,0,24,0,53287,2095,270524,0,602,1,1.6961477851777724,0.3613682447324341
24,67173,655,0,4,52636,120,3064,0.18,0.547,1,2,0,22,3,5150,4514,58846,3,249910,0,0.7835769791883764,0.09783992248798373
23,95967,614,2,3,190636,24,2763,0.036,0.345,0,0,0,16,3,70661,8235,215299,1,-79479,0,1.9864538179393132,0.3706573225554326
62,39363,660,0,3,27048,84,1715,0.482,0.523,0,0,1,4,31,12904,8554,51049,7,65320,0,0.6871252921451072,0.47706015009797037
59,35755,576,0,1,26284,84,1361,0.012,0.457,0,1,1,21,34,12735,7956,52396,18,82174,0,0.7350934108960734,0.4844968613277535
58,95609,613,1,1,164232,72,4367,0.281,0.548,0,1,1,27,21,6103,6385,230920,24,171059,0,1.7177282711013493,0.03716061936395244
44,57813,656,0,1,33148,48,1293,0.158,0.268,0,3,0,12,15,38619,15955,21792,22,270096,0,0.5733559345487252,1.1650125192313494
59,48959,476,0,0,83859,36,1460,0.198,0.358,0,0,0,22,28,10089,6237,63290,1,90302,0,1.7128063725490197,0.1203076556165037
27,76828,745,0,1,110253,24,1056,0.583,0.165,0,2,0,26,8,33800,17231,36411,9,212737,1,1.4350440588840152,0.3065648411849003
70,75412,536,2,1,120536,84,842,0.238,0.134,0,0,0,15,42,57792,21835,93044,19,256135,0,1.598345112911567,0.47945444137484755
47,28915,575,2,3,36331,84,1165,0.408,0.483,0,1,0,16,19,14650,5163,66582,21,63578,0,1.2564324249550423,0.4032258064516129
72,108263,750,2,3,148177,72,3550,0.434,0.393,0,3,0,43,32,93239,5040,100024,21,441540,1,1.368663637035395,0.629236458853541
26,44125,711,0,1,52628,36,432,0.393,0.117,0,3,0,44,4,17475,1108,87867,4,133784,1,1.1926755201015276,0.3320412700222311
46,126754,667,0,1,144633,84,3044,0.14,0.288,0,1,0,30,13,111171,25744,207966,19,113379,1,1.1410437458088438,0.7686366967656291
58,27812,506,2,1,7495,72,854,0.699,0.368,0,4,0,9,24,12565,3454,7527,7,86884,0,0.26947830151368063,1.6762273212379937
46,63493,605,2,1,15337,72,532,0.56,0.101,0,1,0,43,25,29448,10412,6146,17,305954,0,0.24155038271332724,1.9199374103533706
43,49374,640,0,1,5711,12,1755,0.143,0.427,0,2,0,6,11,12404,13019,2607,18,126821,0,0.11566582278481012,2.1715686274509802
27,20178,647,0,3,19021,84,615,0.26,0.366,0,3,0,6,8,12285,3811,23483,6,23491,0,0.9426136082065514,0.6458311428871832
40,75290,762,0,1,150845,84,2481,0.068,0.395,0,2,0,33,13,51857,17019,217610,10,170678,1,2.003493113386726,0.34377444546093366
31,20702,839,1,4,34772,60,818,0.492,0.474,0,1,0,7,9,12550,6003,14971,13,105882,1,1.6795633483070087,0.3609122019958013
35,46824,715,0,3,5221,48,1400,0.319,0.359,0,0,0,42,6,29150,6721,2193,12,102874,1,0.11150026695141484,5.5821524320183835
57,94102,611,0,4,27626,120,1480,0.264,0.189,0,1,0,11,18,14868,2350,29279,3,60576,0,0.2935719371327163,0.5381691823216419
54,41563,769,1,0,46768,24,1397,0.475,0.403,0,1,0,22,33,12066,3720,31194,10,172167,0,1.1252045038976037,0.25799140456285147
53,34479,606,0,4,12769,60,868,0.288,0.302,0,0,1,44,21,24973,684,15330,6,69922,0,0.370330626450116,1.9555990602975724
